,show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,tconst
4202,s4203,Movie,monster-in-law,Robert Luketic,"['jennifer lopez', 'jane fonda', 'michael vartan']","['united states', 'germany']","January 1, 2020",2005,3,101 min,"Comedies, Romantic Movies",An office temp thinks she's found Mr. Right when she starts dating a handsome surgeon. But there's a problem standing in the way of everlasting bliss.,9939
4207,s4208,Movie,monty python and the holy grail,"Terry Gilliam, Terry Jones","['graham chapman', 'john cleese', 'eric idle']",['united kingdom'],"January 2, 2019",1975,3,92 min,"Action & Adventure, Classic Movies, Comedies",The Monty Python comedy clan skewers King Arthur and his Knights of the Round Table as they quest far and wide for the Holy Grail.,14358
4217,s4218,TV Show,monty python's flying circus,,"['john cleese', 'graham chapman', 'terry jones']",['united kingdom'],"October 2, 2018",1974,3,4 Seasons,"British TV Shows, Classic & Cult TV, International TV Shows","The Monty Python players make their mark with a winning mix of wit, ingenuity and brilliant timing – and a penchant for mockery and cross-dressing.",7237
4218,s4219,Movie,monty python's life of brian,Terry Jones,"['graham chapman', 'john cleese', 'terry gilliam']",['united kingdom'],"October 2, 2018",1979,3,94 min,"Classic Movies, Comedies, Cult Movies","Born in a stable in Judea, Brian grows up to join a group of anti-Roman zealots, but his fate keeps getting confused with that of a certain carpenter.",5538
4236,s4237,Movie,mother,Tatsushi Omori,"['masami nagasawa', 'sadao abe', 'daiken okudaira']",['japan'],"November 3, 2020",2020,3,127 min,"Dramas, International Movies","Shuhei’s erratic mother feels threatened when he starts to awaken to a world beyond her distorted control, sending the family hurtling towards tragedy.",10102
4250,s4251,Movie,mr. deeds,Steve Brill,"['adam sandler', 'winona ryder', 'peter gallagher']",['united states'],"August 1, 2020",2002,3,97 min,"Comedies, Romantic Movies","After inheriting a media empire, humble Longfellow Deeds moves to the Big Apple – where a reporter and a company bigwig are waiting to pounce on him.",9756
4265,s4266,Movie,much ado about nothing,Alejandro Fernández Almendras,"['agustín silva', 'paulina garcía', 'daniel alcaíno']","['other', 'united states', 'france']","October 1, 2016",2016,3,96 min,"Dramas, Independent Movies, International Movies",Carefree college student Vicente ends up in a desperate fight for freedom when a well-connected friend falsely accuses him of a hit-and-run accident.,13511
4273,s4274,Movie,mujhse shaadi karogi,David Dhawan,"['rajpal yadav', 'amrish puri', 'kader khan']",['india'],"December 31, 2019",2004,3,158 min,"Comedies, International Movies, Romantic Movies","Samir must overcome a hostile horoscope, a hot temper and a determined rival to win the heart of Rani, the love of his life.",17024
4300,s4301,Movie,mutiny on the bounty,"Lewis Milestone, Carol Reed","['marlon brando', 'trevor howard', 'richard harris']",['united states'],"November 1, 2019",1962,3,185 min,"Action & Adventure, Classic Movies, Dramas","Marlon Brando gives a nuanced performance as the aristocratic Lt. Fletcher Christian, an officer aboard the HMS Bounty who leads a mutiny against the ship's tyrannical Capt. Bligh.",1129
4320,s4321,Movie,my girl,Howard Zieff,"['dan aykroyd', 'jamie lee curtis', 'macaulay culkin']",['united states'],"January 1, 2020",1991,3,102 min,Dramas,This coming-of-age charmer follows a summer in the life of an 11-year-old girl who learns about love and loss as she grapples with profound changes.,15105
4355,s4356,Movie,my sister's keeper,Nick Cassavetes,"['cameron diaz', 'abigail breslin', 'alec baldwin']",['united states'],"September 1, 2019",2009,3,109 min,Dramas,A former defense attorney finds herself back in court when she and her husband are sued for medical emancipation by their 11-year-old daughter.,7243
4372,s4373,Movie,mystic pizza,Donald Petrie,"['annabeth gish', 'julia roberts', 'lili taylor']",['united states'],"January 1, 2021",1988,3,104 min,"Comedies, Dramas, Independent Movies","In a small fishing town, three teenage girls from blue-collar families navigate life and love while working in a pizza parlor.",4739
4374,s4375,Movie,mystic river,Clint Eastwood,"['sean penn', 'tim robbins', 'kevin bacon']","['united states', 'australia']","September 1, 2019",2003,3,138 min,"Dramas, Thrillers","Tragedy reunites childhood friends Sean, Dave and Jimmy when they're linked together in a murder investigation about Jimmy's teenage daughter.",12582
4393,s4394,Movie,naked,Michael Tiddes,"['marlon wayans', 'regina hall', 'dennis haysbert']",['united states'],"August 11, 2017",2017,3,97 min,"Comedies, Romantic Movies","Rob's madly in love and about to be married. Unfortunately, he's also naked, stuck in an elevator and caught in a time loop.",1136
4424,s4425,Movie,national treasure,Jon Turteltaub,"['nicolas cage', 'diane kruger', 'justin bartha']",['united states'],"June 1, 2018",2004,3,131 min,"Action & Adventure, Children & Family Movies","Modern treasure hunters search for a chest of riches rumored to have been stashed away by George Washington, Thomas Jefferson and Benjamin Franklin.",17169
4453,s4454,Movie,new york minute,Dennie Gordon,"['mary-kate olsen', 'ashley olsen', 'eugene levy']",['united states'],"January 1, 2020",2004,3,91 min,"Children & Family Movies, Comedies","When bickering teenage twins accidentally land in the middle of a criminal operation, they'll have to work together to get themselves out of trouble.",17697
4464,s4465,Movie,night moves,Kelly Reichardt,"['jesse eisenberg', 'dakota fanning', 'peter sarsgaard']",['united states'],"June 30, 2019",2013,3,113 min,"Dramas, Independent Movies, Thrillers",A pair of young environmentalists enlist the help of an ex-military explosives expert to carry out a dangerous act of eco-terrorism.,16521
4484,s4485,Movie,no direction home: bob dylan,Martin Scorsese,"['bob dylan', 'joan baez', 'dave van ronk']","['united kingdom', 'united states', 'japan']","April 25, 2020",2005,3,208 min,"Documentaries, Music & Musicals","Featuring rare concert footage and interviews with legendary musicians, this documentary traces Bob Dylan's life story and extraordinary career.",10449
4518,s4519,Movie,nothing to lose,Alexandre Avancini,"['petrônio gontijo', 'day mesquita', 'beth goulart']",['brazil'],"July 20, 2018",2018,3,133 min,"Dramas, Faith & Spirituality, International Movies",This biographical drama traces the rise to fame of controversial Brazilian evangelical leader and business titan Edir Macedo.,2135
4542,s4543,Movie,now and then,Lesli Linka Glatter,"['christina ricci', ""rosie o'donnell"", 'thora birch']",['united states'],"August 2, 2019",1995,3,102 min,Dramas,"Waxing nostalgic about the bittersweet passage from childhood to puberty, four childhood girlfriends recall the magical summer of 1970.",11218
4563,s4564,Movie,ocean's eleven,Lewis Milestone,"['frank sinatra', 'dean martin', 'sammy davis jr.']",['united states'],"November 1, 2019",1960,3,127 min,"Action & Adventure, Classic Movies, Comedies","Frank Sinatra leads an all-star cast as Danny Ocean, who decides to knock over a few casinos on the Las Vegas Strip with his buddies.",5952
4565,s4566,Movie,ocean's twelve,Steven Soderbergh,"['george clooney', 'brad pitt', 'matt damon']",['united states'],"October 1, 2019",2004,3,125 min,"Action & Adventure, Comedies","Danny Ocean reunites with his old flame and the rest of his merry band of thieves in a caper covering three huge heists in Rome, Paris and Amsterdam.",10358
4630,s4631,TV Show,once upon a time,,"['ruby', 'mohamed farraag', 'ahmed dawood']",['egypt'],"December 9, 2020",2019,3,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas","Fighting to save his ancestors' mansion from demolition, Youssef unpacks a series of love stories that took place there with a journalist.",3296
4635,s4636,Movie,once upon a time in the west,Sergio Leone,"['henry fonda', 'charles bronson', 'claudia cardinale']","['italy', 'united states']","November 20, 2019",1968,3,166 min,"Action & Adventure, Classic Movies, International Movies","In this epic spaghetti Western, a flinty gunslinger is hired by a railroad tycoon to kill anyone standing in the way of his trans-American iron horse.",7070
4650,s4651,Movie,one night stand,Jasmine D'Souza,"['tanuj virwani', 'sunny leone', 'narendra jetley']",['india'],"October 15, 2017",2016,3,93 min,"Dramas, International Movies, Music & Musicals",An obsession with a woman with whom he had a one-night stand brings disharmony into a man's life and destroys his peace of mind.,15080
4664,s4665,Movie,opening night,Isaac Rentz,"['topher grace', 'alona tal', 'anne heche']",['united states'],"August 1, 2017",2016,3,84 min,"Comedies, Independent Movies, Music & Musicals","Once a rising star on Broadway, Nick is now the perennially pestered production manager for a new musical dedicated to rock music's one-hit wonders.",10615
4680,s4681,Movie,ordinary people,Eduardo Roy Jr.,"['ronwaldo martin', 'hasmine killip', 'maria isabel lopez']",['philippines'],"June 26, 2020",2016,3,107 min,"Dramas, Independent Movies, International Movies","Barely making a living as pickpockets, a teenage couple in Manila resort to desperate measures when their one-month-old child is kidnapped.",4479
4738,s4739,Movie,paheli,Amol Palekar,"['shah rukh khan', 'rani mukerji', 'anupam kher']",['india'],"April 1, 2018",2005,3,134 min,"Dramas, International Movies, Romantic Movies",Traditional Indian folklore comes alive in this charming film based on a story by Statwart Vijaydan Detha.,2537
4741,s4742,Movie,paid in full,Charles Stone III,"['wood harris', 'mekhi phifer', 'kevin carroll']",['united states'],"November 1, 2019",2002,3,98 min,"Action & Adventure, Dramas",This fictionalized account of three real-life notorious Harlem drug dealers is told in flashbacks as they plunge into the world of hustling.,16887
4753,s4754,Movie,panic room,David Fincher,"['jodie foster', 'forest whitaker', 'dwight yoakam']",['united states'],"August 1, 2019",2002,3,112 min,Thrillers,A woman and her daughter are caught in a game of cat-and-mouse with burglars in their New York City home and are forced to retreat inside a vault.,16390
4765,s4766,TV Show,paranoid,,"['indira varma', 'robert glenister', 'dino fetscher']",['united kingdom'],"November 17, 2016",2016,3,1 Season,"British TV Shows, Crime TV Shows, International TV Shows","When a woman is brutally murdered on a playground, a group of detectives find themselves drawn into a dark conspiracy as they search for the killer.",6105
4776,s4777,Movie,paris is burning,Jennie Livingston,[],['united states'],"February 1, 2017",1990,3,77 min,"Classic Movies, Cult Movies, Documentaries","This Sundance prize-winning documentary is an intimate portrait of 1980s Harlem drag balls: a world of fierce competition, sustenance, and survival.",14681
4786,s4787,Movie,passenger 57,Kevin Hooks,"['wesley snipes', 'bruce payne', 'tom sizemore']",['united states'],"January 1, 2021",1992,3,84 min,Action & Adventure,Air marshal John Cutter must stop notorious terrorist Charles Rane from killing hostages on board a flight that should have delivered Rane to jail.,11139
4794,s4795,Movie,patriot games,Phillip Noyce,"['harrison ford', 'anne archer', 'patrick bergin']",['united states'],"January 1, 2020",1992,3,117 min,Action & Adventure,CIA desk jockey Jack Ryan plunges into the heart of international terrorism after spoiling an assassination attempt on a British royal family member.,5293
4829,s4830,TV Show,perfume,,"['friederike becht', 'august diehl', 'wotan wilke möhring']",['germany'],"December 21, 2018",2018,3,1 Season,"Crime TV Shows, International TV Shows, TV Dramas","When a singer is found murdered, with her scent glands excised from her body, detectives probe a group of friends who attended boarding school with her.",1452
4832,s4833,TV Show,persona,"Lee Kyoungmi, Yim Pilsung, Jeon Go-woon, Kim Jong-kwan","['lee ji-eun (iu)', 'bae doona', 'park hae soo']",['south korea'],"April 11, 2019",2019,3,1 Season,"International TV Shows, Korean TV Shows, TV Dramas",An exploration of different personas in an eclectic collection of four works by critically acclaimed Korean directors.,9485
4844,s4845,Movie,philadelphia,Jonathan Demme,"['tom hanks', 'denzel washington', 'jason robards']",['united states'],"July 1, 2019",1993,3,126 min,"Classic Movies, Dramas, LGBTQ Movies",Philadelphia attorney Andrew Beckett launches a wrongful termination suit against his law firm when they fire him because he's gay and HIV-positive.,17154
4845,s4846,Movie,phir bhi dil hai hindustani,Aziz Mirza,"['shah rukh khan', 'juhi chawla', 'paresh rawal']",['india'],"April 1, 2018",2000,3,159 min,"Comedies, Dramas, International Movies","In this Bollywood entertainment, two journalists, Ajay and Ria, work for rival TV stations and compete heavily to mask their feelings for each other.",12962
4879,s4880,Movie,platoon,Oliver Stone,"['tom berenger', 'willem dafoe', 'charlie sheen']","['united states', 'united kingdom']","November 1, 2020",1986,3,120 min,"Action & Adventure, Classic Movies, Dramas",A soldier grows disillusioned as he's caught between rival sergeants in this semi-autobiographical Vietnam War drama from writer-director Oliver Stone.,9426
4894,s4895,Movie,point blank,Joe Lynch,"['frank grillo', 'anthony mackie', 'marcia gay harden']","['france', 'united states']","July 12, 2019",2019,3,87 min,Action & Adventure,"To save his pregnant wife, an emergency room nurse unwillingly partners with an injured murder suspect in a race against time and renegade cops.",4334
4909,s4910,Movie,popeye,Robert Altman,"['robin williams', 'shelley duvall', 'ray walston']",['united states'],"November 24, 2019",1980,3,114 min,"Action & Adventure, Children & Family Movies, Comedies","During a storm that wrecks his ship, super-strong sailor Popeye washes ashore and winds up rooming at the Oyl household, where he meets Olive.",1458
4918,s4919,TV Show,possessed,,"['song sae-byeok', 'go joon-hee', 'youn jung-hoon']",['south korea'],"April 4, 2019",2019,3,1 Season,"Crime TV Shows, International TV Shows, Korean TV Shows",A reluctant clairvoyant joins forces with a brusque police detective hiding a soft heart to help him solve criminal cases using her psychic abilities.,5412
4923,s4924,TV Show,powder,,"['manish chaudhary', 'pankaj tripathi', 'geetika tyagi']",['india'],"February 15, 2018",2010,3,1 Season,"Crime TV Shows, International TV Shows, TV Dramas","Two men who grew up in Mumbai's slums are drawn into the city's brutal narcotics trade, where they fight on opposite sides of the law.",13787
4940,s4941,TV Show,power rangers s.p.d.,,"['brandon jay mclaren', 'chris violette', 'matt austin']","['united states', 'other']","January 1, 2016",2005,1,1 Season,Kids' TV,"When the Troobian Empire attacks Earth, the B-Squad Power Rangers Space Patrol Delta morphs into action to squash the alien threat and save the world.",14608
4969,s4970,Movie,primal fear,Gregory Hoblit,"['richard gere', 'edward norton', 'laura linney']",['united states'],"December 1, 2019",1996,3,131 min,"Dramas, Thrillers","When a blood-spattered altar boy is found running from a murder scene, his conviction seems certain – but his attorney is determined to win the case.",12052
4971,s4972,Movie,prince charming,Wong Jing,"['kenny bee', 'cherie chung', 'chan pak-cheung']",['hong kong'],"August 31, 2018",1984,3,93 min,"Comedies, International Movies, Romantic Movies","Two young buddies seek love in Hawaii, and upon returning home in disappointment, soon entangle themselves in a messy identity swap.",7825
4979,s4980,TV Show,private lives,,"['seohyun', 'ko kyung-pyo', 'kim hyo-jin']",['south korea'],"October 8, 2020",2020,3,1 Season,"Crime TV Shows, International TV Shows, TV Dramas","In a world where data is no longer private, con artists uncover a sinister surveillance scheme headed by the government and a greedy corporation.",8564
4989,s4990,Movie,prom night,Nelson McCormick,"['brittany snow', 'scott porter', 'jessica stroup']","['united states', 'canada']","November 12, 2020",2008,3,88 min,Horror Movies,"On prom night, a high school senior still struggling with her nightmare past tries to evade a killer bent on ending the party for her and her friends.",16553
4993,s4994,Movie,psycho,Mysskin,"['udhayanidhi stalin', 'aditi rao hydari', 'nithya menon']",['india'],"May 1, 2020",2020,3,143 min,"Horror Movies, International Movies, Thrillers","As a visually impaired man attempts to rescue his love interest from a serial killer, the dark story behind the murderer’s disturbing psyche emerges.",1792
5000,s5001,Movie,pukar,Rajkumar Santoshi,"['anil kapoor', 'madhuri dixit', 'namrata shirodkar']",['india'],"March 1, 2018",2000,3,165 min,"Action & Adventure, Dramas, International Movies",A notorious terrorist manipulates an Indian army major's jilted lover into helping him obtain a classified military code.,5424
5002,s5003,Movie,pulp fiction,Quentin Tarantino,"['john travolta', 'samuel l. jackson', 'uma thurman']",['united states'],"January 1, 2019",1994,3,154 min,"Classic Movies, Cult Movies, Dramas","This stylized crime caper weaves together stories featuring a burger-loving hit man, his philosophical partner and a washed-up boxer.",11064
5017,s5018,TV Show,pyaar tune kya kiya,,"['meiyang chang', 'surbhi jyoti']",['india']," June 1, 2017",2014,3,3 Seasons,"International TV Shows, Romantic TV Shows, TV Dramas","From teen lovers defying social and religious taboos to a student falling for her teacher, these stories explore joy and heartache in modern romance.",7945
5029,s5030,Movie,quartet,Dustin Hoffman,"['maggie smith', 'tom courtenay', 'billy connolly']",['united kingdom'],"May 11, 2020",2012,3,98 min,"Comedies, Dramas, Independent Movies",A trio of retired opera singers' annual celebration of Verdi's birthday sours when their estranged fourth member shows up but refuses to sing.,8727
5040,s5041,TV Show,quicksand,,"['hanna ardéhn', 'felix sandman', 'william spetz']",['other'],"April 5, 2019",2019,3,1 Season,"Crime TV Shows, International TV Shows, TV Dramas","After a tragedy at a school sends shock waves through a wealthy Stockholm suburb, a seemingly well-adjusted teen finds herself on trial for murder.",2527
5042,s5043,Movie,quigley down under,Simon Wincer,"['tom selleck', 'laura san giacomo', 'alan rickman']","['australia', 'united states']","December 1, 2020",1990,3,120 min,Action & Adventure,"After traveling to Australia for a job, a sharpshooting cowboy becomes a target himself when he refuses an immoral assignment from a corrupt landowner.",8337
5063,s5064,Movie,raging bull,Martin Scorsese,"['robert de niro', 'cathy moriarty', 'joe pesci']",['united states'],"October 1, 2019",1980,3,129 min,"Classic Movies, Dramas, Sports Movies","This gritty biopic of brutal boxer Jake LaMotta portrays a tormented soul rising to the top of his sport, only to be undone by his demons.",13856
5070,s5071,Movie,rain man,Barry Levinson,"['dustin hoffman', 'tom cruise', 'valeria golino']",['united states'],"July 1, 2019",1988,3,134 min,"Classic Movies, Dramas","A fast-talking yuppie is forced to slow down when he meets the brother he never knew he had, an unusually gifted autistic savant named Raymond.",4640
5076,s5077,Movie,raising victor vargas,Peter Sollett,"['victor rasuk', 'judy marte', 'melonie diaz']","['france', 'united states']","September 15, 2020",2002,3,88 min,"Dramas, Independent Movies, Romantic Movies",A suave teen sets his sights on a girl who seems beyond his reach. But his game can't be confined to his tiny apartment and family's old-school values.,15736
5077,s5078,Movie,raja hindustani,Dharmesh Darshan,"['aamir khan', 'karisma kapoor', 'suresh oberoi']",['india'],"May 1, 2017",1996,3,177 min,"Dramas, International Movies, Romantic Movies","When a poor taxi driver falls in love with a wealthy young woman, he must stand up to her family and contend with his own insecurities.",6517
5089,s5090,Movie,ram teri ganga maili,Raj Kapoor,"['mandakini', 'rajiv kapoor', 'divya rana']",['india'],"December 31, 2019",1985,3,178 min,"Classic Movies, Dramas, International Movies","Abandoned by her new husband and father of her son, a mountain woman journeys to Calcutta to find him, constantly tested by social evils along the way.",4903
5106,s5107,Movie,ravenous,Robin Aubert,"['marc-andré grondin', 'monia chokri', 'charlotte st-martin']",['canada'],"March 2, 2018",2017,3,104 min,"Horror Movies, International Movies","As a zombie plague ravages their rural Quebec town, a scrappy band of survivors join forces to flee the infected hordes in this quiet thriller.",3481
5121,s5122,Movie,rebecca,Ben Wheatley,"['lily james', 'armie hammer', 'kristin scott thomas']",['united kingdom'],"October 21, 2020",2020,3,123 min,"Dramas, Romantic Movies, Thrillers","A young newlywed moves to her husband's imposing estate, where she must contend with his sinister housekeeper and the haunting shadow of his late wife.",2133
5134,s5135,Movie,red dawn,John Milius,"['patrick swayze', 'c. thomas howell', 'lea thompson']",['united states'],"December 31, 2019",1984,3,114 min,"Action & Adventure, Cult Movies",A group of teenagers witnesses Soviet and Cuban paratroopers descending on their small Colorado town and systematically setting off World War III.,6133
5138,s5139,Movie,redemption,Steven Knight,"['jason statham', 'agata buzek', 'vicky mcclure']","['united kingdom', 'united states']","January 1, 2021",2013,3,100 min,"Action & Adventure, Dramas, International Movies",An Afghanistan veteran haunted by his dark past takes on an assumed identity but must risk stepping into the light when his girlfriend is murdered.,17723
5140,s5141,Movie,refugee,"Clementine Malpas, Leslie Knott","['cate blanchett', 'lynsey addario', 'omar victor diop']",[],"March 10, 2017",2016,3,24 min,Documentaries,Five acclaimed photographers travel the world to provide detailed insight into the difficult conditions faced by refugees who dream of a better life.,2741
5178,s5179,Movie,revelations,Vijay Jayapal,"['chetan', 'lakshmi priyaa chandramouli', 'anantharam karthik']",['india'],"March 1, 2017",2016,2,118 min,"Dramas, International Movies","After four years together, a husband and wife become entangled in secret, sexually charged relationships that threaten to unravel their marriage.",2486
5179,s5180,TV Show,revenge,,"['lalita panyopas', 'saksit tangtong', 'tao somchai khemklad']",[],"May 2, 2019",2017,3,1 Season,"Crime TV Shows, International TV Shows, TV Dramas","After a mother and her daughter are gang-raped by seven men, the daughter suffers a mental breakdown, and the single mom sets out to get revenge.",1641
5200,s5201,Movie,richard pryor: live in concert,Jeff Margolis,['richard pryor'],['united states'],"December 1, 2016",1979,3,79 min,Stand-Up Comedy,"Richard Pryor's classic 1979 concert film has him discussing a wide range of topics, including race, the police and his favorite target – himself.",16318
5201,s5202,TV Show,richie rich,,"['jake brennan', 'joshua carlon', 'lauren taylor']",['united states'],"May 22, 2015",2015,2,2 Seasons,"Kids' TV, TV Comedies","After turning his veggies into green energy, Richie Rich earns a trillion dollars overnight and a new life filled with nonstop fun and adventure.",2908
5222,s5223,TV Show,rita,,"['mille dinesen', 'carsten bjørnlund', 'lise baastrup']",['other'],"August 15, 2020",2020,3,5 Seasons,"International TV Shows, TV Comedies, TV Dramas","Independent, outspoken and adored by her students, schoolteacher Rita fares less well with adults in this comedy-drama from Denmark.",10154
5225,s5226,Movie,river's edge,Isao Yukisada,"['fumi nikaido', 'ryo yoshizawa', 'shuhei uesugi']",['japan'],"March 2, 2019",2018,3,118 min,"Dramas, International Movies","High schooler Haruna befriends loner Yamada, then is drawn into the tangled relationship between him, a model and the girl who loves him unreasonably.",12745
5227,s5228,Movie,rize,David LaChapelle,"['tommy the clown', 'tight eyez']","['united states', 'united kingdom']","October 1, 2020",2005,3,87 min,Documentaries,"This documentary explores ""krumping,"" a fast-paced urban dance, and follows the man that originated the phenomenon in South Central Los Angeles.",12367
5238,s5239,TV Show,robotech,,"['jean-claude ballard', 'gregory snegoff', 'cam clarke']","['united states', 'japan']","October 1, 2016",1985,3,1 Season,Anime Series,"When a mysterious spaceship crashes in the Pacific, the people of Earth work to master the science of robotechnology and rebuild the giant fortress.",7940
5244,s5245,Movie,rocky,John G. Avildsen,"['sylvester stallone', 'talia shire', 'burt young']",['united states'],"August 1, 2019",1976,3,120 min,"Action & Adventure, Classic Movies, Dramas","Sylvester Stallone shot to fame as Rocky Balboa, an unknown fighter who's given a shot at fighting world champ Apollo Creed as a publicity stunt.",5571
5246,s5247,Movie,rocky ii,Sylvester Stallone,"['sylvester stallone', 'talia shire', 'burt young']",['united states'],"August 1, 2019",1979,3,119 min,"Dramas, Sports Movies","Featuring a rousing climax, this engaging sequel finds boxer Rocky Balboa returning to the ring for a rematch against reigning champ Apollo Creed.",9614
5247,s5248,Movie,rocky iii,Sylvester Stallone,"['sylvester stallone', 'talia shire', 'burt young']",['united states'],"August 1, 2019",1982,3,100 min,"Dramas, Sports Movies","After taking a pounding from a powerful young fighter, humbled world champ Rocky Balboa turns to ex-rival Apollo Creed for help in regaining his form.",9565
5248,s5249,Movie,rocky iv,Sylvester Stallone,"['sylvester stallone', 'talia shire', 'burt young']",['united states'],"August 1, 2019",1985,3,92 min,"Dramas, Sports Movies","Rocky Balboa takes on the Cold War, coming out of retirement to battle a Soviet fighter who pulverized Rocky's friend and former rival, Apollo Creed.",13501
5249,s5250,Movie,rocky v,John G. Avildsen,"['sylvester stallone', 'talia shire', 'burt young']",['united states'],"August 1, 2019",1990,3,104 min,"Dramas, Sports Movies","Inspired by the memory of his trainer, a broke and seemingly careerless Rocky finds glory in training and takes on an up-and-coming boxer.",1558
5285,s5286,Movie,rosemary's baby,Roman Polanski,"['mia farrow', 'john cassavetes', 'ruth gordon']",['united states'],"November 1, 2019",1968,3,137 min,"Classic Movies, Horror Movies, Thrillers","A woman is thrilled to find out she's pregnant. But as her belly grows, the more certain she becomes that her unborn child is in serious danger.",1832
5288,s5289,Movie,rounders,John Dahl,"['matt damon', 'edward norton', 'john turturro']",['united states'],"November 1, 2019",1998,3,121 min,Dramas,"A law student befriends and ""befoes"" a fellow gambling addict and a club owner, and tensions run high when they must come up with $15k in just 5 days.",8851
5295,s5296,Movie,rugrats in paris: the movie,"Stig Bergqvist, Paul Demeyer","['elizabeth daily', 'tara strong', 'cheryl chase']","['germany', 'united states']","October 1, 2019",2000,2,79 min,"Children & Family Movies, Comedies",The Rugrats take to the big screen and visit Paris when Mr. Pickles gets summoned to fix a giant robot at the EuroReptarland theme park.,12277
5298,s5299,Movie,rumble in the bronx,Stanley Tong,"['jackie chan', 'anita mui', 'françoise yip']",['hong kong'],"November 1, 2019",1995,3,89 min,"Action & Adventure, Comedies, International Movies","During a visit to the Bronx to help out at his uncle's store, a cheerful martial arts expert springs into action when a gang terrorizes the shop.",7718
5300,s5301,Movie,run,Jeeva,"['abhishek bachchan', 'bhoomika chawla', 'mahesh manjrekar']",['india'],"March 1, 2018",2004,3,134 min,"Action & Adventure, International Movies, Music & Musicals",Siddharth falls in love with beautiful Jhanvi. But Jhanvi's brother Ganpat is overly possessive – and determined to destroy their relationship.,12437
5302,s5303,Movie,runaway bride,Garry Marshall,"['julia roberts', 'richard gere', 'joan cusack']",['united states'],"December 1, 2020",1999,3,116 min,"Comedies, Romantic Movies","Sparks fly when a newspaper columnist writes a one-sided, sexist story about a commitment-phobic bride who abandoned three men at the altar.",10359
5305,s5306,Movie,running out of time,Chris Stokes,"['tasha smith', 'ronreaco lee', 'telma hopkins']",['united states'],"August 1, 2019",2018,3,88 min,Thrillers,"Held hostage by men searching for a secret her late husband left behind, a recent widow and her family race against time to find a way out.",685
5307,s5308,TV Show,rurouni kenshin,,"['mayo suzukaze', 'miki fujitani', 'miina tominaga']",['japan']," January 1, 2020",1998,3,3 Seasons,"Anime Series, International TV Shows","A nomadic swordsman arrives at a martial arts school in Meiji-era Japan, where he lands in the middle of a conflict involving the opium trade.",7735
5322,s5323,Movie,s.w.a.t.,Clark Johnson,"['samuel l. jackson', 'colin farrell', 'michelle rodriguez']",['united states'],"January 1, 2021",2003,3,117 min,Action & Adventure,"A veteran cop is tasked with drafting and training a special weapons and tactics team, who soon find themselves up against an international criminal.",1307
5330,s5331,Movie,sabrina,Rocky Soraya,"['luna maya', 'christian sugiono', 'sara wijayanto']",['indonesia'],"November 20, 2018",2018,3,114 min,"Horror Movies, International Movies",A toy manufacturer and his wife are terrorized by a demon after their orphaned niece tries to summon her late mother's spirit using a spooky ritual.,11882
5339,s5340,TV Show,safe,,"['michael c. hall', 'amanda abbington', 'marc warren']",['united kingdom'],"February 5, 2019",2018,3,1 Season,"British TV Shows, Crime TV Shows, International TV Shows","After his teenage daughter goes missing, a widowed surgeon in an affluent neighborhood begins unearthing dark secrets about the people closest to him.",16041
5341,s5342,Movie,sahara,Pierre Coré,"['robert naylor', 'angela galuppo', 'daniel brochu']","['france', 'canada']","May 12, 2017",2017,1,86 min,Children & Family Movies,"When his new love is captured by an evil snake charmer, a young cobra and his scorpion best friend set out across the desert on a wild rescue mission.",5683
5344,s5345,TV Show,saint seiya,,"['toru furuya', 'hirotaka suzuoki', 'ryo horikawa']",['japan'],"April 1, 2020",1986,3,6 Seasons,Anime Series,A band of young warriors in magical armor vow to defend the reincarnation of Greek goddess Athena against evil forces and to return her to the throne.,13363
5357,s5358,Movie,sam kinison: breaking the rules,Walter C. Miller,['sam kinison'],['united states'],"December 31, 2018",1987,3,50 min,Stand-Up Comedy,"The one-time preacher shakes and shudders as he tears into subjects including sex, marriage, religion, drugs and famine in this HBO special.",15382
5358,s5359,Movie,sam kinison: family entertainment hour,Walter C. Miller,['sam kinison'],['united states'],"December 31, 2018",1991,3,49 min,Stand-Up Comedy,"Comic Sam Kinison lets it rip with this performance at L.A.'s Wiltern theatre, skewering every segment of modern society from religion to television.",15258
5376,s5377,Movie,sangam,Raj Kapoor,"['raj kapoor', 'vyjayanthimala', 'rajendra kumar']",['india'],"December 31, 2019",1964,3,228 min,"Classic Movies, Dramas, International Movies","Returning home from war after being assumed dead, a pilot weds the woman he has long loved, unaware that she had been planning to marry his best friend.",16638
5405,s5406,Movie,satte pe satta,Raj N. Sippy,"['amitabh bachchan', 'hema malini', 'amjad khan']",['india'],"December 31, 2019",1982,3,153 min,"Comedies, Cult Movies, Dramas","The eldest of seven brothers who run a family farm together marries a pretty nurse, inspiring his country-bumpkin siblings to follow his example.",2706
5424,s5425,TV Show,scandal,,"['kerry washington', 'columbus short', 'darby stanchfield']",['united states']," May 19, 2018",2018,3,7 Seasons,"Crime TV Shows, TV Dramas","A powerful team of Washington, D.C. lawyers makes scandals disappear while handling government crises and coping with problems of their own.",110
